ticker,ten,kij,sen,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,maximaze,interval,
T,9,26,52,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,17.036056897122066,12961.395600000005,13708.955660000005,29.61395600000005,-34.8034188034188,2.188775413787436,6.399403540941963,0.34202803429790557,0.4887051569039832,0.2296220264441416,-9.532079512066682,-2.266310730465636,1185 days 00:00:00,141 days 00:00:00,27,40.74074074074074,11.175633619411052,-4.790977572365374,0.9674242292227353,83 days 00:00:00,27 days 00:00:00,2.2522718051010755,1.054426291585576,1.168490554331078,Return [%],CANDLE_INTERVAL_DAY,
T,11,26,45,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,17.201455507773737,13628.935059999998,14767.746899999998,36.28935059999998,-34.8034188034188,2.6180405962730857,6.340668953745528,0.41289659109652305,0.6015324022148005,0.24820735604802358,-10.547796157042754,-2.1200203656506273,1185 days 00:00:00,128 days 00:00:00,27,44.44444444444444,11.070717953837539,-3.282824070774637,1.153568942399108,87 days 00:00:00,27 days 00:00:00,2.4304696321991166,1.234768905223512,1.3742246821508801,Return [%],CANDLE_INTERVAL_DAY,
KO,9,26,52,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,27.228047182175626,7968.279700000002,11109.821720000002,-20.31720299999998,94.03719071768867,-1.8602149904464738,7.389200715076026,0.0,0.0,0.0,-32.27313426232009,-5.424256786694142,3494 days 00:00:00,386 days 00:00:00,48,29.166666666666668,9.566001562496385,-4.62357848522098,-0.4733079865085865,94 days 00:00:00,23 days 00:00:00,0.6489785791533581,-0.4388518658417569,-1.2051664399136581,Return [%],CANDLE_INTERVAL_DAY,
KO,4,15,78,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,25.16382699868938,15620.589619999992,15994.296439999991,56.20589619999991,94.03719071768867,3.7562707719325017,7.1403748004256515,0.5260607288721851,0.8519414858682822,0.42956092747763114,-8.74444236348313,-2.088780188218622,623 days 00:00:00,101 days 00:00:00,68,50.0,8.644136916805367,-3.2525516874479354,0.6592897031866274,73 days 00:00:00,15 days 00:00:00,2.135850757499282,0.6936917764752977,2.128844346002035,Return [%],CANDLE_INTERVAL_DAY,
VTBR,9,26,52,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,4.267100977198697,8223.578457720001,11191.433648380002,-17.76421542279999,-83.31,-1.592591436841151,4.477771665997771,0.0,0.0,0.0,-26.98646201684072,-8.401642237071316,1629 days 00:00:00,576 days 00:00:00,9,33.33333333333333,3.2549395305245143,-14.341129062629454,-2.1496747431563934,42 days 00:00:00,20 days 00:00:00,0.31760838947024084,-2.005854236874214,-1.0726119794209092,Return [%],CANDLE_INTERVAL_DAY,
VTBR,13,18,77,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,5.732899022801303,13800.491326219997,15128.611240769998,38.00491326219997,-83.31,2.679371270189801,6.411968091349271,0.4178703374716858,0.7629762661673413,0.1938871244884354,-13.81923259349599,-4.0049562963032805,586 days 00:00:00,125 days 00:00:00,11,54.54545454545454,33.43566032491978,-6.66279132220946,2.9716562644978683,47 days 00:00:00,23 days 00:00:00,4.6455659265061575,3.3997085768929654,1.021781584287258,Return [%],CANDLE_INTERVAL_DAY,
GAZP,9,26,52,2021-04-26 07:00:00+00:00,2022-02-25 07:00:00+00:00,305 days 00:00:00,0.0,10000.0,10000.0,0.0,-25.24271844660194,0.0,0.0,nan,nan,nan,-0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Return [%],CANDLE_INTERVAL_DAY,
GAZP,4,15,45,2021-04-26 07:00:00+00:00,2022-02-25 07:00:00+00:00,305 days 00:00:00,0.0,10000.0,10000.0,0.0,-25.24271844660194,0.0,0.0,nan,nan,nan,-0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Return [%],CANDLE_INTERVAL_DAY,
SIBN,9,26,52,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,28.180619644034277,25802.666919999996,29468.072319999992,158.02666919999996,273.89015478903127,8.205355145408145,12.409326618933724,0.6612248510639326,1.1198729907653908,0.5329055318729514,-15.39739157251676,-3.4199272752961742,673 days 00:00:00,80 days 00:00:00,48,58.333333333333336,24.736975912673298,-4.349716408766636,2.0036576852644483,94 days 00:00:00,24 days 00:00:00,3.5064981822755317,2.1504825278222115,2.361123522473514,Return [%],CANDLE_INTERVAL_DAY,
SIBN,4,24,46,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,28.97165458141068,36533.60721999998,41670.45331999999,265.3360721999998,273.89015478903127,11.381648859682581,12.77390352116328,0.8910078928360412,1.6036570355594926,0.7965677584680481,-14.288362463441484,-2.8681104171217786,543 days 00:00:00,61 days 00:00:00,53,60.37735849056604,20.649601226322957,-4.90056472421011,2.488806710907343,84 days 00:00:00,23 days 00:00:00,4.024933668184656,2.669749229059552,2.6270777045286766,Return [%],CANDLE_INTERVAL_DAY,
